menji,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,{1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28},summary,sample1,pre
gyh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00
brute,0.438,0.538,0.699,0.795,0.857,0.981,0.951,0.968,0.917,0.951,0.935,0.889,0.889,0.841,0.825,0.795,0.732,0.811,0.905,0.842,0.913,0.840,1.034,0.958,0.907,0.292,0.014,0.614,0.628,0.628,0.221
,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,ok,ok,Total 100.0,,wa
gyh,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,100.00,100.00,1.00
std,0.237,0.045,0.042,0.045,0.061,0.062,0.061,0.062,0.060,0.052,0.061,0.053,0.062,0.061,0.060,0.060,0.060,0.053,0.059,0.061,0.061,0.060,0.061,0.060,0.064,0.063,0.173,0.158,2.015,2.015,0.058
,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,Total 100.0,,ok
gyh,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00
test,1.774,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.177,12.631,1.060,0.636,0.062,0.045,0.014,0.014,0.000,0.000,0.000,10.880,0.000,10.311,8.822,0.000,0.000,0.014,0.014,7.809,7.809,1.505
,ok,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,ok,wa(and time out),ok,ok,ok,ok,ok,ok,Time out.,Time out.,Time out.,wa(and time out),Time out.,wa(and time out),wa(and time out),Time out.,Time out.,ok,ok,Total 100.0,,ok
ckw,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,100.00,100.00,1.00
std,0.342,0.139,0.154,0.171,0.185,0.213,0.170,0.186,0.154,0.138,0.169,0.138,0.172,0.170,0.157,0.171,0.157,0.238,0.235,0.204,0.218,0.219,0.201,0.189,0.190,0.200,0.250,0.325,5.458,5.458,0.045
,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,Total 100.0,,ok
